gender,kids
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,5
male,5
male,5
male,5
male,5
male,5
male,5
male,5
male,5
male,5
male,5
male,5
male,5
male,5
male,6
male,6
male,6
male,7
