hours,sex
50,female
50,male
50,male
51,male
51,male
52,female
52,male
52,male
52,female
52,male
52,female
52,male
52,female
52,male
53,male
53,male
53,male
53,male
53,female
53,male
54,male
54,male
54,female
54,male
54,female
54,male
54,male
54,male
54,female
54,female
55,female
55,female
55,male
55,female
55,male
55,female
55,female
55,female
55,female
55,female
55,female
55,female
55,female
55,male
55,male
55,male
55,male
55,female
55,male
55,male
55,male
55,female
55,male
55,female
55,male
55,male
55,male
55,male
55,male
55,male
55,female
55,female
55,male
55,female
55,female
56,male
56,male
56,female
57,male
57,male
57,male
57,female
57,female
58,male
58,male
60,male
60,male
60,male
60,male
60,male
60,male
60,male
60,male
60,male
60,female
60,male
60,male
60,male
60,male
60,female
60,male
60,male
60,female
60,male
60,male
60,female
60,male
60,male
60,male
60,female
60,female
60,male
60,male
60,male
60,male
60,male
60,male
60,male
60,male
60,male
60,female
60,male
60,male
60,male
60,male
60,male
60,male
60,male
60,female
60,male
60,male
60,male
60,female
60,male
60,male
60,male
60,male
60,male
60,male
60,male
60,male
60,male
60,male
60,female
60,female
60,male
60,female
60,male
60,male
60,female
60,male
60,female
60,male
60,male
60,female
60,female
60,female
60,female
60,male
60,male
60,male
60,male
60,male
60,female
60,male
60,male
60,female
60,female
60,male
60,male
60,male
60,male
60,male
60,female
60,female
61,male
62,male
62,male
62,male
62,female
64,male
64,male
64,male
64,male
64,male
65,male
65,female
65,male
65,male
65,male
65,female
65,male
65,male
65,male
65,male
65,male
65,female
65,male
65,male
65,male
65,female
65,female
68,female
70,female
70,male
70,male
70,male
70,male
70,male
70,male
70,female
70,male
70,male
70,male
70,male
70,male
70,male
70,female
70,male
70,male
70,male
70,male
70,male
70,male
70,male
70,male
70,female
70,male
72,male
72,female
72,female
72,male
72,male
75,male
75,male
75,female
75,female
75,male
76,female
78,male
80,male
80,female
80,male
80,female
84,male
84,female
85,female
86,male
86,male
86,male
89,male
89,male
89,male
89,female
89,male
89,male
89,male
89,female
89,male
89,male
89,male
89,male
